he_word,en_word
לא,not
את,you
אני,i
זה,this
אתה,you
מה,what
הוא,he
על,on
לי,me
של,of
כן,yes
לך,to you
אבל,but
יש,there is
שלי,my
כל,all
בסדר,okay
עם,with
היא,she
שלך,your
אם,if
טוב,good
היה,was
אנחנו,we
רוצה,want
אז,then
יודע,knowing
רק,only
הם,they
יכול,can
אותו,him
אותך,you
יותר,more
ג,third
כאן,here
אותי,me
הזה,this
שאני,i am
למה,why
להיות,be
עכשיו,now
או,or
אחד,one
משהו,something
היי,hi
צריך,must
כמו,like
אל,to
כך,so
איך,how
אין,nothing
נכון,right
לעשות,do
תודה,thanks
לו,him
לנו,us
שאתה,that you
מי,who
זאת,this
שם,name
חושב,thinking
כדי,to
שהוא,which is
כמה,some
פשוט,simple
יודעת,knows
אותה,her
אולי,perhaps
באמת,really
כי,that
הייתי,i was
שזה,that is
גם,also
זו,this
עושה,does
האם,mother
ואני,and I
דבר,thing
שלו,his
עוד,more
כבר,already
שלא,not
נראה,visible
שלנו,our
מאוד,very
לפני,before
הרבה,many
בבקשה,please
הולך,going
קדימה,forward
אומר,says
יהיה,will be
יכולה,can
פעם,time
זמן,time
אתם,you
עדיין,still
עד,to
ממש,really
אלוהים,god
ובכן,well
איפה,where
לה,her
קצת,some
מישהו,someone
אותם,them
לעזאזל,damn it
אה,ah
לראות,see
הנה,here
הייתה,there was
פה,here
אבא,father
הכל,everything
ללכת,go
בכל,in all
שהיא,that she is
צריכה,consumption
בדיוק,exactly
אנשים,people
אף,even
לדבר,talk
חייב,must
שוב,again
חשבתי,i thought
היית,you were
היום,today
שיש,marble
מצטער,sorry
מר,mr
צריכים,need
בוא,come
היו,were
שאת,that you
חושבת,thinking
קרה,cold
אחת,one
לזה,to this
שלה,its
אמא,mother
אוהב,lover
שום,garlic
אחר,other
אפילו,even
ה,the
אדוני,sir
תמיד,always
יכולים,can
יום,day
חבר,friend
להם,them
בטוח,insurance
בגלל,because of
שלום,peace
ואז,then
בטח,sure
קורה,beam
האלה,goddess
אחרי,after
שהם,they are
מדי,every
רואה,seer
הזאת,this
הזמן,time
כולם,everybody
איתך,with you
אמר,saying
רגע,moment
צ,c
בן,son
ו,and
שאנחנו,that we are
אמרתי,i said
איזה,what
בו,in
אדם,person
תראה,look
דברים,stuff
מבין,understand
טובה,favor
בשביל,for
בזה,plunder
דרך,way
אוקיי,okay
לעזור,help
אותנו,us
בבית,at home
בואו,come on
מספיק,enough
הו,oh
תהיה,be
הכי,most
הדבר,the thing
תן,give
י,y
ב,on
לדעת,know
כלום,nothing
מקום,place
כזה,such
לקחת,take
מזה,from this
לכם,to you
מתכוון,mean
ככה,so
ביותר,most
אוכל,eater
איתי,with me
יודעים,know
אפשר,allow
ר,r
וזה,and that
לומר,say
ל,to
כאילו,as if
קשה,difficult
לכאן,here
הביתה,home
עליי,about me
להגיד,say
שנים,years
מת,dead
די,quite
למצוא,find
גדול,large
היתה,was
שני,other
בלי,without
מצטערת,sorry
אנו,we
אלה,these
שלהם,their
לקבל,get
הזו,this one
יפה,beautiful
ראיתי,i saw
מנסה,trying
כמובן,of course
מותק,honey
מדבר,desert
ואתה,and you
נהדר,magnificent
עליו,on him
סליחה,forgiveness
אוהבת,love
אך,but
אומרת,says
בואי,come on.
לעולם,forever
ממני,from me
רוצים,want
הלילה,tonight
והוא,and he
הבחור,the guy
לתת,give
האמת,the truth
אחי,brother
ולא,and not
לשם,opal
עבור,for
תגיד,say
בית,house
אמרת,you said
ואת,and you
ד,d
בי,in me
מעולם,never
מכאן,hence
כסף,money
עבודה,work
זהו,this is
מוכן,prepared
ילד,child
נחמד,nice
לכל,per
בך,in you
עושים,do
מרגיש,feeling
רציתי,i wanted
עליך,on you
נמצא,available
אכפת,concern
ש,that
הולכים,going
לצאת,go
כדאי,worthwhile
עובד,worker
בדרך,through
חכה,fishing rod
אי,non
לאן,where
עשה,did
איתו,with him
מ,from
מהר,fast
בזמן,on time
ק,k
נוכל,crook
לגבי,regarding
נשמע,audible
עשית,you did
